STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
Uttar Pradesh,7,Gangoh,8 RAJVEER,MALE,49,GENERAL,IND,Almirah,274,2,276,0.1,386148
TURN OUT,,,,,,TOTAL:,,,269628,962,270590,70.07,
Uttar Pradesh,8,Kairana,1 Nahid Hasan,MALE,34,GENERAL,SP,Bicycle,130802,233,131035,54.16,322423
Uttar Pradesh,8,Kairana,2 MRIGANKA SINGH,FEMALE,62,GENERAL,BJP,Lotus,104705,443,105148,43.46,322423
Uttar Pradesh,8,Kairana,3 RAJENDERA,MALE,57,GENERAL,BSP,Elephant,2067,10,2077,0.86,322423
Uttar Pradesh,8,Kairana,4 AKHLAK,MALE,50,GENERAL,INC,Hand,1517,5,1522,0.63,322423
Uttar Pradesh,8,Kairana,5 NOTA,,,,NOTA,NOTA,592,1,593,0.25,322423
Uttar Pradesh,8,Kairana,6 SETHPAL,MALE,54,GENERAL,IND,Bicycle Pump,409,0,409,0.17,322423
Uttar Pradesh,8,Kairana,7 HARUN ALI,MALE,47,GENERAL,IND,Almirah,315,0,315,0.13,322423
Uttar Pradesh,8,Kairana,8 ISRAR,MALE,38,GENERAL,IND,Auto- Rickshaw,272,0,272,0.11,322423
Uttar Pradesh,8,Kairana,9 DEVI SINGH,MALE,25,GENERAL,ASPKR,Kettle,247,1,248,0.1,322423
Uttar Pradesh,8,Kairana,10 VIJAY KUMAR,MALE,41,GENERAL,IND,Air Conditioner,186,0,186,0.08,322423
Uttar Pradesh,8,Kairana,11 SANGEETA,FEMALE,37,GENERAL,AAAP,Broom,138,4,142,0.06,322423
TURN OUT,,,,,,TOTAL:,,,241250,697,241947,75.04,
Uttar Pradesh,9,Thana Bhawan,1 Ashraf Ali Khan,MALE,49,GENERAL,RLD,Hand Pump,103325,426,103751,47.47,326817
Uttar Pradesh,9,Thana Bhawan,2 Suresh Kumar,MALE,51,GENERAL,BJP,Lotus,92472,473,92945,42.53,326817
