STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
Kerala,25,BALUSSERI,8 MOHANDAS UNNIKULAM,MALE,57,SC,RPI(A),Auto- Rickshaw,109,6,115,0.06,225249
TURN OUT,,,,,,TOTAL:,,,175852,6102,181954,80.78,
Kerala,26,ELATHUR,1 A .K Saseendran,MALE,75,GENERAL,NCP,Clock,80607,3032,83639,50.89,204036
Kerala,26,ELATHUR,2 Zulphikar Mayoori,MALE,53,GENERAL,IND,Football,43621,1516,45137,27.46,204036
Kerala,26,ELATHUR,3 T P Jayachandran Master,MALE,59,GENERAL,BJP,Lotus,31056,954,32010,19.48,204036
Kerala,26,ELATHUR,4 TAHIR MOKKANDI,MALE,52,GENERAL,WPOI,Gas Cylinder,1911,89,2000,1.22,204036
Kerala,26,ELATHUR,5 NOTA,,,,NOTA,NOTA,960,24,984,0.6,204036
Kerala,26,ELATHUR,6 RADHAKRISHNAN P K,MALE,40,GENERAL,IND,Television,548,32,580,0.35,204036
TURN OUT,,,,,,TOTAL:,,,158703,5647,164350,80.55,
Kerala,27,KOZHIKODE NORTH,1 Thottathil Ravindran,MALE,73,GENERAL,CPI(M),"Hammer, Sickle and Star",57357,1767,59124,42.98,181191
Kerala,27,KOZHIKODE NORTH,2 K M ABHIJITH,MALE,26,GENERAL,INC,Hand,44759,1437,46196,33.58,181191
Kerala,27,KOZHIKODE NORTH,3 M T RAMESH,MALE,50,GENERAL,BJP,Lotus,30241,711,30952,22.5,181191
Kerala,27,KOZHIKODE NORTH,4 NOTA,,,,NOTA,NOTA,513,3,516,0.38,181191
Kerala,27,KOZHIKODE NORTH,5 N ABHIJITH,MALE,26,GENERAL,IND,Batsman,328,0,328,0.24,181191
Kerala,27,KOZHIKODE NORTH,6 K RAHIM,MALE,31,GENERAL,SUCI,Battery torch,152,4,156,0.11,181191
Kerala,27,KOZHIKODE NORTH,7 A RAMESH,MALE,54,GENERAL,IND,Funnel,94,10,104,0.08,181191
Kerala,27,KOZHIKODE NORTH,8 V P RAMESH,MALE,48,GENERAL,IND,DIAMOND,84,12,96,0.07,181191
Kerala,27,KOZHIKODE NORTH,9 URANDIYIL RAVEENDRAN,MALE,56,GENERAL,IND,Dish Antenna,75,15,90,0.07,181191
TURN OUT,,,,,,TOTAL:,,,133603,3959,137562,75.92,
Kerala,28,KOZHIKODE SOUTH,1 AHAMMAD DEVARKOVIL,MALE,61,GENERAL,INL,Glass Tumbler,51582,975,52557,44.15,157765
Kerala,28,KOZHIKODE SOUTH,2 ADV. NOORBEENA RASHEED,FEMALE,58,GENERAL,IUML,Ladder,39393,705,40098,33.68,157765
Kerala,28,KOZHIKODE SOUTH,3 NAVYA HARIDAS,FEMALE,36,GENERAL,BJP,Lotus,24314,559,24873,20.89,157765
Kerala,28,KOZHIKODE SOUTH,4 NOTA,,,,NOTA,NOTA,585,18,603,0.51,157765
Kerala,28,KOZHIKODE SOUTH,5 ADV. MUBEENA,FEMALE,34,GENERAL,IND,FLUTE,503,10,513,0.43,157765
Kerala,28,KOZHIKODE SOUTH,6 P. HAREENDRANATH,MALE,51,GENERAL,DSJP,Television,392,18,410,0.34,157765
TURN OUT,,,,,,TOTAL:,,,116769,2285,119054,75.46,
Kerala,29,BEYPORE,1 Adv. P. A MOHAMED RIYAS,MALE,45,GENERAL,CPI(M),"Hammer, Sickle and Star",80505,1660,82165,49.73,208219
Kerala,29,BEYPORE,2 Adv. P. M NIYAS,MALE,55,GENERAL,INC,Hand,52579,839,53418,32.33,208219
Kerala,29,BEYPORE,3 Adv. PRAKASHBABU,MALE,41,GENERAL,BJP,Lotus,25822,445,26267,15.9,208219
Kerala,29,BEYPORE,4 JAMAL CHALIYAM,MALE,41,GENERAL,SDPI,Scissors,2015,14,2029,1.23,208219
Kerala,29,BEYPORE,5 NOTA,,,,NOTA,NOTA,601,20,621,0.38,208219
Kerala,29,BEYPORE,6 ABDUL GAFOOR K. K,MALE,48,GENERAL,BSP,Elephant,269,3,272,0.16,208219
Kerala,29,BEYPORE,7 P. P MUHAMMAD RIYAS S/o MAMUKKOYA,MALE,40,GENERAL,IND,Dish Antenna,160,5,165,0.1,208219
Kerala,29,BEYPORE,8 E.M NIYAS S/o SALEEM BABU,MALE,31,GENERAL,IND,Pen Nib with Seven Rays,159,3,162,0.1,208219
Kerala,29,BEYPORE,9 NIYAS K S/o KOYA KUNIYIL,MALE,48,GENERAL,IND,Coat,106,5,111,0.07,208219
TURN OUT,,,,,,TOTAL:,,,162216,2994,165210,79.34,
Kerala,30,KUNNAMANGALAM,1 ADV. P. T. A RAHIM,MALE,72,GENERAL,IND,Glass Tumbler,82498,2640,85138,43.93,232409
Kerala,30,KUNNAMANGALAM,2 DINESH PERUMANNA,MALE,52,GENERAL,IND,Auto- Rickshaw,72998,1864,74862,38.62,232409
Kerala,30,KUNNAMANGALAM,3 ADV: V.K. SAJEEVAN,MALE,44,GENERAL,BJP,Lotus,27048,624,27672,14.28,232409
