STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
Tamil Nadu,5,Poonamallee,12 Venkatesan J,MALE,45,SC,IND,Well,242,0,242,0.09,358218
Tamil Nadu,5,Poonamallee,13 Rajesh P,MALE,31,SC,IND,Kettle,239,0,239,0.09,358218
Tamil Nadu,5,Poonamallee,14 Purushothaman B,MALE,51,SC,IND,Cauliflower,174,2,176,0.07,358218
Tamil Nadu,5,Poonamallee,15 Dhasarathan R,MALE,53,SC,IND,Pot,173,0,173,0.07,358218
TURN OUT,,,,,,TOTAL:,,,262138,1598,263736,73.62,
Tamil Nadu,6,Avadi,1 Nasar S M,MALE,61,GENERAL,DMK,Rising Sun,148845,1442,150287,49.94,442831
Tamil Nadu,6,Avadi,2 Pandiarajan K,MALE,61,GENERAL,ADMK,Two Leaves,94331,681,95012,31.57,442831
Tamil Nadu,6,Avadi,3 VIJAYALAKSHMI G,FEMALE,35,GENERAL,NTK,Ganna Kisan,29953,134,30087,10,442831
Tamil Nadu,6,Avadi,4 Udhayakumar V,MALE,49,GENERAL,MNM,Battery Torch,16982,110,17092,5.68,442831
Tamil Nadu,6,Avadi,5 NOTA,,,,NOTA,NOTA,2361,20,2381,0.79,442831
Tamil Nadu,6,Avadi,6 Sankar N M,MALE,51,GENERAL,DMDK,Nagara,1895,16,1911,0.64,442831
Tamil Nadu,6,Avadi,7 Balasubramanian M,MALE,48,GENERAL,TNLK,Ring,1251,12,1263,0.42,442831
Tamil Nadu,6,Avadi,8 CHARLES S,MALE,40,SC,BSP,Elephant,763,10,773,0.26,442831
Tamil Nadu,6,Avadi,9 Pandiarajan G,MALE,31,GENERAL,IND,Peas,359,1,360,0.12,442831
Tamil Nadu,6,Avadi,10 Jayakumar P,MALE,45,GENERAL,IND,Water Melon,299,1,300,0.1,442831
Tamil Nadu,6,Avadi,11 Shanavas Khan J,MALE,41,GENERAL,IND,Brick,231,0,231,0.08,442831
Tamil Nadu,6,Avadi,12 Nagaraj M,MALE,66,GENERAL,IND,Truck,198,0,198,0.07,442831
Tamil Nadu,6,Avadi,13 Dharani K,MALE,41,GENERAL,IND,Skipping Rope,184,3,187,0.06,442831
Tamil Nadu,6,Avadi,14 Sugumar M,MALE,46,GENERAL,IND,Bread,143,0,143,0.05,442831
Tamil Nadu,6,Avadi,15 Banumathi,FEMALE,36,GENERAL,MIDP,CCTV Camera,126,1,127,0.04,442831
Tamil Nadu,6,Avadi,16 Raman N,MALE,51,GENERAL,TMNP,COMPUTER,120,0,120,0.04,442831
Tamil Nadu,6,Avadi,17 Viswanathan R,MALE,64,GENERAL,MGRMKKT,Black Board,108,0,108,0.04,442831
Tamil Nadu,6,Avadi,18 Chandrasekar.A,MALE,39,GENERAL,IND,Electric Pole,105,0,105,0.03,442831
Tamil Nadu,6,Avadi,19 Venkatesan M,MALE,45,GENERAL,IND,Stumps,95,0,95,0.03,442831
Tamil Nadu,6,Avadi,20 Durgaprasad G,MALE,37,GENERAL,IND,Tongs,73,2,75,0.02,442831
Tamil Nadu,6,Avadi,21 Akilan T.M.,MALE,36,GENERAL,IND,Camera,72,0,72,0.02,442831
TURN OUT,,,,,,TOTAL:,,,298494,2433,300927,67.96,
Tamil Nadu,7,Maduravoyal,1 GANAPATHY.K,MALE,61,GENERAL,DMK,Rising Sun,120441,857,121298,44.29,452195
Tamil Nadu,7,Maduravoyal,2 BENJAMIN.P,MALE,51,GENERAL,ADMK,Two Leaves,89313,264,89577,32.71,452195
Tamil Nadu,7,Maduravoyal,3 PADMA PRIYA.S,FEMALE,25,GENERAL,MNM,Battery torch,33310,91,33401,12.2,452195
Tamil Nadu,7,Maduravoyal,4 GANESHKUMAR.G,MALE,35,GENERAL,NTK,Ganna Kisan,20999,46,21045,7.68,452195
Tamil Nadu,7,Maduravoyal,5 LUCKY MURUGAN.E,MALE,41,GENERAL,AMMKMNKZ,Pressure Cooker,2648,12,2660,0.97,452195
Tamil Nadu,7,Maduravoyal,6 NOTA,,,,NOTA,NOTA,2137,9,2146,0.78,452195
Tamil Nadu,7,Maduravoyal,7 SHANMUGAM.K,MALE,34,GENERAL,TNLK,Ring,906,2,908,0.33,452195
Tamil Nadu,7,Maduravoyal,8 SANTHAKUMAR.Y,MALE,36,SC,BSP,Elephant,622,6,628,0.23,452195
Tamil Nadu,7,Maduravoyal,9 PRIYA.K,FEMALE,41,GENERAL,IND,Razor,552,1,553,0.2,452195
Tamil Nadu,7,Maduravoyal,10 LAVANYA.P,FEMALE,34,GENERAL,NCP,Clock,348,1,349,0.13,452195
Tamil Nadu,7,Maduravoyal,11 SELVAKUMAR.V,MALE,47,SC,IND,Matchbox,287,0,287,0.1,452195
Tamil Nadu,7,Maduravoyal,12 MURUGAN.D,MALE,46,GENERAL,IND,Safety Pin,161,0,161,0.06,452195
Tamil Nadu,7,Maduravoyal,13 BENJAMIN MOSES.S,MALE,33,GENERAL,IND,Electric Pole,149,0,149,0.05,452195
Tamil Nadu,7,Maduravoyal,14 ABARAJITHAN.R,MALE,53,GENERAL,IND,DIAMOND,142,1,143,0.05,452195
Tamil Nadu,7,Maduravoyal,15 NEVIS STELLA MARY.B,FEMALE,37,GENERAL,AMAK,Gas Cylinder,124,0,124,0.05,452195
Tamil Nadu,7,Maduravoyal,16 GANAPATHY.R,MALE,53,GENERAL,IND,Spanner,96,0,96,0.04,452195
Tamil Nadu,7,Maduravoyal,17 ARUNKUMAR.A,MALE,39,GENERAL,IND,Chimney,95,0,95,0.03,452195
Tamil Nadu,7,Maduravoyal,18 MUTHURAMAN.S,MALE,52,GENERAL,AMGRDMK,Pan,69,0,69,0.03,452195
Tamil Nadu,7,Maduravoyal,19 AMALRAJ.S,MALE,38,GENERAL,IND,Capsicum,69,0,69,0.03,452195
Tamil Nadu,7,Maduravoyal,20 SUMITHRA.R,FEMALE,41,SC,BHUDRP,BUCKET,64,0,64,0.02,452195
Tamil Nadu,7,Maduravoyal,21 RAVI.C.V,MALE,43,GENERAL,IND,Bat,48,0,48,0.02,452195
TURN OUT,,,,,,TOTAL:,,,272580,1290,273870,60.56,
Tamil Nadu,8,Ambattur,1 JOSEPH SAMUEL,MALE,58,GENERAL,DMK,Rising Sun,113371,1183,114554,47.67,384377
Tamil Nadu,8,Ambattur,2 V ALEXANDER,MALE,49,GENERAL,ADMK,Two Leaves,71908,500,72408,30.13,384377
Tamil Nadu,8,Ambattur,3 R ANBU THENARASAN,MALE,57,GENERAL,NTK,Ganna Kisan,22638,63,22701,9.45,384377
Tamil Nadu,8,Ambattur,4 S VAITHESWARAN,MALE,56,GENERAL,MNM,Battery torch,22286,84,22370,9.31,384377
Tamil Nadu,8,Ambattur,5 S VEDHACHALAM,MALE,67,GENERAL,AMMKMNKZ,Pressure Cooker,2616,15,2631,1.09,384377
