STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
Karnataka,28,Basavana Bagevadi,11 Praveenkumar Rayagond(muttagi),MALE,30,GENERAL,KRS,Battery torch,302,1,303,0.19,210088
Karnataka,28,Basavana Bagevadi,12 Narayan Neelakant Rathod,MALE,46,SC,KRPP,Football,281,1,282,0.18,210088
Karnataka,28,Basavana Bagevadi,13 Vidya Biradar,FEMALE,38,GENERAL,AHNP,Chapati roller,142,4,146,0.09,210088
Karnataka,28,Basavana Bagevadi,14 Zameer Ahmmed Inamadar,MALE,50,GENERAL,NCP,Clock,140,0,140,0.09,210088
TURN OUT,,,,,,TOTAL:,,,156942,1504,158446,75.42,
Karnataka,29,Babaleshwar,1 M B Patil.,MALE,58,GENERAL,INC,Hand,93008,915,93923,52.42,217491
Karnataka,29,Babaleshwar,2 Vijayakumar (vijayagouda) Patil,MALE,59,GENERAL,BJP,Lotus,78071,636,78707,43.92,217491
Karnataka,29,Babaleshwar,3 Basavaraj Honawad,MALE,36,GENERAL,JD(S),A lady farmer carrying paddy on her head,1288,16,1304,0.73,217491
Karnataka,29,Babaleshwar,4 Motiram Darmu Chavan,MALE,35,SC,IND,Grapes,955,0,955,0.53,217491
Karnataka,29,Babaleshwar,5 Mehaboob Malabodi,MALE,50,GENERAL,BSP,Elephant,911,4,915,0.51,217491
Karnataka,29,Babaleshwar,6 Nota,,,,NOTA,NOTA,611,0,611,0.34,217491
Karnataka,29,Babaleshwar,7 Talewad Patil,MALE,53,GENERAL,IND,Lady finger,559,7,566,0.32,217491
Karnataka,29,Babaleshwar,8 Ganganalli Kamanna Siddappa,MALE,43,GENERAL,AAAP,Broom,525,1,526,0.29,217491
Karnataka,29,Babaleshwar,9 Ravichandra Tammanna Dombali,MALE,25,GENERAL,RSPS,Stool,416,1,417,0.23,217491
Karnataka,29,Babaleshwar,10 Bhirappa Malappa Soddi,MALE,26,GENERAL,IND,Water melon,397,1,398,0.22,217491
Karnataka,29,Babaleshwar,11 Manjula. Kishan. Chavan,FEMALE,42,SC,IND,Air conditioner,268,0,268,0.15,217491
Karnataka,29,Babaleshwar,12 Jyotiba Salunke,MALE,30,GENERAL,IND,Batsman,211,1,212,0.12,217491
Karnataka,29,Babaleshwar,13 S M Ganji (uppar),MALE,26,GENERAL,UPJP,Auto- rickshaw,169,3,172,0.1,217491
Karnataka,29,Babaleshwar,14 Sunil Rathod,MALE,25,GENERAL,KRS,Battery torch,121,0,121,0.07,217491
Karnataka,29,Babaleshwar,15 Dundasi Abdulrahiman Mahammadhanif,MALE,54,GENERAL,IND,Bat,91,0,91,0.05,217491
TURN OUT,,,,,,TOTAL:,,,177601,1585,179186,82.39,
Karnataka,30,Bijapur City,1 Basanagouda R Patil (yatnal),MALE,60,GENERAL,BJP,Lotus,93316,885,94201,51.46,281726
Karnataka,30,Bijapur City,2 Abdul Hameed Khajasab Musharif,MALE,57,GENERAL,INC,Hand,85442,536,85978,46.97,281726
Karnataka,30,Bijapur City,3 Nota,,,,NOTA,NOTA,993,1,994,0.54,281726
Karnataka,30,Bijapur City,4 Bandenawaz Husenasab Mahabari,MALE,58,GENERAL,JD(S),A lady farmer carrying paddy on her head,456,3,459,0.25,281726
Karnataka,30,Bijapur City,5 Raju Yallappa Pawar,MALE,37,SC,IND,Computer,351,0,351,0.19,281726
Karnataka,30,Bijapur City,6 Kenganal Mallikarjun Bhimappa,MALE,52,GENERAL,BSP,Elephant,210,3,213,0.12,281726
Karnataka,30,Bijapur City,7 Hasimpeer I Walikar,MALE,60,GENERAL,AAAP,Broom,178,1,179,0.1,281726
Karnataka,30,Bijapur City,8 Satish Ashok Patil,MALE,35,GENERAL,SHS (UBT),Flaming torch,153,0,153,0.08,281726
Karnataka,30,Bijapur City,9 Modinasab Bandagisab Ankalagi,MALE,36,GENERAL,IND,Sewing machine,134,1,135,0.07,281726
Karnataka,30,Bijapur City,10 Motiram Dharmu Chavan,MALE,35,SC,IND,Grapes,118,0,118,0.06,281726
Karnataka,30,Bijapur City,11 Kadechur Kallappa Revanasiddappa,MALE,56,GENERAL,IND,Batsman,73,1,74,0.04,281726
Karnataka,30,Bijapur City,12 Chandragiri Honnad,MALE,34,SC,IND,Hockey and ball,54,0,54,0.03,281726
Karnataka,30,Bijapur City,13 Mallikarjun H T,MALE,43,ST,SUCI,Bat,49,0,49,0.03,281726
Karnataka,30,Bijapur City,14 Irappa Kumbar,MALE,54,GENERAL,IND,T.V. Remote,46,0,46,0.03,281726
Karnataka,30,Bijapur City,15 Rakesh H Ingalagi (halahalli),MALE,25,GENERAL,KRS,Battery torch,42,1,43,0.02,281726
TURN OUT,,,,,,TOTAL:,,,181615,1432,183047,64.97,
Karnataka,31,Nagthan (SC),1 Katakadhond Vitthal Dondiba,MALE,67,SC,INC,Hand,78231,759,78990,43.75,269309
Karnataka,31,Nagthan (SC),2 Sanjeev Malasiddappa Aihole,MALE,40,SC,BJP,Lotus,47693,482,48175,26.68,269309
Karnataka,31,Nagthan (SC),3 Devanand Fulasing Chavan,MALE,52,SC,JD(S),A lady farmer carrying paddy on her head,33815,299,34114,18.9,269309
Karnataka,31,Nagthan (SC),4 Bandi Shrikant Hanamantappa,MALE,40,SC,KRPP,Football,10724,46,10770,5.97,269309
Karnataka,31,Nagthan (SC),5 Guru Munnu Chavan,MALE,68,SC,AAAP,Broom,2970,4,2974,1.65,269309
Karnataka,31,Nagthan (SC),6 Nota,,,,NOTA,NOTA,1008,8,1016,0.56,269309
Karnataka,31,Nagthan (SC),7 Kallappa Toravi,MALE,62,SC,BSP,Elephant,946,8,954,0.53,269309
Karnataka,31,Nagthan (SC),8 Shankar Chavan,MALE,56,SC,IND,Auto- rickshaw,613,4,617,0.34,269309
Karnataka,31,Nagthan (SC),9 Katakadhond Kavita V. D.,FEMALE,27,SC,RCMP,Whistle,526,1,527,0.29,269309
Karnataka,31,Nagthan (SC),10 Sunil Chavan,MALE,39,SC,IND,Gas cylinder,486,1,487,0.27,269309
Karnataka,31,Nagthan (SC),11 Aruna. G. Katakadhond,FEMALE,39,SC,IND,Mixee,363,3,366,0.2,269309
Karnataka,31,Nagthan (SC),12 Kulappa Bhimu Chavan,MALE,52,SC,NCP,Clock,358,2,360,0.2,269309
Karnataka,31,Nagthan (SC),13 Sanjeev Pundalik Mane,MALE,43,SC,IND,Sewing machine,337,1,338,0.19,269309
Karnataka,31,Nagthan (SC),14 V. D. Katakadhond,MALE,35,SC,HJP,Dish antenna,300,4,304,0.17,269309
Karnataka,31,Nagthan (SC),15 Vikram Waghamare (jigajevani),MALE,31,SC,KRS,Battery torch,285,2,287,0.16,269309
Karnataka,31,Nagthan (SC),16 Bharati Kalebhag,FEMALE,43,SC,SJAS,Man blowing turha,260,1,261,0.14,269309
TURN OUT,,,,,,TOTAL:,,,178915,1625,180540,67.04,
Karnataka,32,Indi,1 Yashavantaraygoud. Vittalagoud. Patil,MALE,56,GENERAL,INC,Hand,70767,1018,71785,39.69,242910
Karnataka,32,Indi,2 B. D. Patil (hanjagi),MALE,51,GENERAL,JD(S),A lady farmer carrying paddy on her head,60658,798,61456,33.98,242910
Karnataka,32,Indi,3 Kasugouda Irappagouda Biradar,MALE,59,GENERAL,BJP,Lotus,39367,495,39862,22.04,242910
Karnataka,32,Indi,4 Gopal.r. Patil,MALE,43,GENERAL,AAAP,Broom,3352,1,3353,1.85,242910
Karnataka,32,Indi,5 M. M. Bagawan,MALE,32,GENERAL,IND,Batsman,918,4,922,0.51,242910
Karnataka,32,Indi,6 Ashok Jadhav,MALE,35,SC,KRS,Battery torch,910,5,915,0.51,242910
Karnataka,32,Indi,7 Nota,,,,NOTA,NOTA,872,14,886,0.49,242910
Karnataka,32,Indi,8 Nagesh Shivasharan,MALE,33,SC,BSP,Elephant,731,7,738,0.41,242910
Karnataka,32,Indi,9 Kavita. Shree. Katakadhond,FEMALE,28,SC,RCMP,Dish antenna,567,5,572,0.32,242910
Karnataka,32,Indi,10 Gollalaninganagouda. Jyotigond,MALE,41,GENERAL,IND,Sewing machine,369,1,370,0.2,242910
TURN OUT,,,,,,TOTAL:,,,178511,2348,180859,74.46,
Karnataka,33,Sindgi,1 Ashok Mallappa Managuli,MALE,54,GENERAL,INC,Hand,86771,850,87621,50.53,236670
Karnataka,33,Sindgi,2 Bhusanur Ramesh Balappa,MALE,64,GENERAL,BJP,Lotus,78691,1122,79813,46.03,236670
Karnataka,33,Sindgi,3 Vishalakshi Shivanand Patil,FEMALE,47,GENERAL,JD(S),A lady farmer carrying paddy on her head,2251,32,2283,1.32,236670
Karnataka,33,Sindgi,4 Nota,,,,NOTA,NOTA,960,3,963,0.56,236670
Karnataka,33,Sindgi,5 Murigeppagouda S Raddewadagi,MALE,61,GENERAL,AAAP,Broom,850,1,851,0.49,236670
Karnataka,33,Sindgi,6 Dr|| Dastageer. Mulla,MALE,43,GENERAL,BSP,Elephant,808,5,813,0.47,236670
Karnataka,33,Sindgi,7 Deepika S,FEMALE,38,GENERAL,IND,Phone charger,370,6,376,0.22,236670
Karnataka,33,Sindgi,8 Mohammad Mushtaq Ameenuddin Naikodi,MALE,32,GENERAL,IND,Helicopter,274,1,275,0.16,236670
Karnataka,33,Sindgi,9 Pundalik Biradar,MALE,30,ST,KRS,Battery torch,229,5,234,0.13,236670
Karnataka,33,Sindgi,10 Jilani. Gudusab. Mulla.,MALE,53,GENERAL,IND,Auto- rickshaw,169,1,170,0.1,236670
TURN OUT,,,,,,TOTAL:,,,171373,2026,173399,73.27,
Karnataka,34,Afzalpur,1 M.y.patil,MALE,82,GENERAL,INC,Hand,55868,445,56313,35.12,228171
Karnataka,34,Afzalpur,2 Nitin Venkayya Guttedar,MALE,40,GENERAL,IND,Kettle,51218,501,51719,32.26,228171
Karnataka,34,Afzalpur,3 Malikayya. V. Guttedar.,MALE,67,GENERAL,BJP,Lotus,31131,263,31394,19.58,228171
Karnataka,34,Afzalpur,4 R.d.patil.,MALE,39,GENERAL,SP,Bicycle,8605,81,8686,5.42,228171
Karnataka,34,Afzalpur,5 Shivakumar M Natikar,MALE,36,GENERAL,JD(S),A lady farmer carrying paddy on her head,8107,46,8153,5.09,228171
Karnataka,34,Afzalpur,6 Nota,,,,NOTA,NOTA,1604,4,1608,1,228171
Karnataka,34,Afzalpur,7 Shivaraj Patil Kulali,MALE,63,GENERAL,AAAP,Broom,625,1,626,0.39,228171
Karnataka,34,Afzalpur,8 Shamaray. Baksar Hosamani,MALE,49,SC,RPI(A),Ship,597,0,597,0.37,228171
Karnataka,34,Afzalpur,9 Huccheshwar Wathar Gour,MALE,52,SC,BSP,Elephant,441,0,441,0.28,228171
Karnataka,34,Afzalpur,10 Ramesh Jamadar,MALE,39,GENERAL,RSPS,Ganna kisan,430,1,431,0.27,228171
Karnataka,34,Afzalpur,11 K.g.poojari,MALE,61,GENERAL,KRS,Battery torch,350,4,354,0.22,228171
TURN OUT,,,,,,TOTAL:,,,158976,1346,160322,70.26,
Karnataka,35,Jewargi,1 Ajay Singh,MALE,49,GENERAL,INC,Hand,70233,577,70810,42.3,239914
Karnataka,35,Jewargi,2 Doddappagouda,MALE,51,GENERAL,JD(S),A lady farmer carrying paddy on her head,60063,469,60532,36.16,239914
Karnataka,35,Jewargi,3 Shivaraj,MALE,48,GENERAL,BJP,Lotus,29305,259,29564,17.66,239914
Karnataka,35,Jewargi,4 Vishwanath Reddy,MALE,51,GENERAL,AAAP,Broom,1164,3,1167,0.7,239914
Karnataka,35,Jewargi,5 Nota,,,,NOTA,NOTA,1144,2,1146,0.68,239914
Karnataka,35,Jewargi,6 Vijaykumar,MALE,39,SC,IND,Glass tumbler,1123,1,1124,0.67,239914
Karnataka,35,Jewargi,7 Bheemaraya,MALE,27,SC,BSP,Elephant,670,6,676,0.4,239914
Karnataka,35,Jewargi,8 Maheshkumar,MALE,47,SC,CPI,Ears of corn and sickle,538,4,542,0.32,239914
Karnataka,35,Jewargi,9 Ashok,MALE,62,GENERAL,KRPP,Football,404,1,405,0.24,239914
Karnataka,35,Jewargi,10 Mallikarjun,MALE,43,GENERAL,IND,Auto- rickshaw,367,2,369,0.22,239914
Karnataka,35,Jewargi,11 Vakil Patel,MALE,46,GENERAL,IND,Grapes,326,0,326,0.19,239914
Karnataka,35,Jewargi,12 Nabisab,MALE,33,GENERAL,IND,Pot,199,0,199,0.12,239914
Karnataka,35,Jewargi,13 Shivlingappa Kinnur,MALE,82,GENERAL,RSPS,Table,191,6,197,0.12,239914
Karnataka,35,Jewargi,14 Tippanna,MALE,41,ST,IND,Ship,139,0,139,0.08,239914
