STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
Gujarat,7,Vav,5 Shantibhai Hajabhai Rathod,MALE,46,SC,IND,Auto- rickshaw,2267,22,2289,1.01,302189
Gujarat,7,Vav,6 Parmar Nayanaben Ranabhai,FEMALE,27,SC,BSP,Elephant,1844,5,1849,0.82,302189
Gujarat,7,Vav,7 Bhemajibhai Patel,MALE,35,GENERAL,AAAP,Broom,1503,93,1596,0.7,302189
TURN OUT,,,,,,TOTAL:,,,224702,1800,226502,74.95,
Gujarat,8,Tharad,1 Shankarbhai Lagdhirbhai Chaudhary,MALE,52,GENERAL,BJP,Lotus,116842,1049,117891,54.27,248450
Gujarat,8,Tharad,2 Gulabsinh Pirabhai Rajput,MALE,37,GENERAL,INC,Hand,90977,408,91385,42.07,248450
Gujarat,8,Tharad,3 Nota,,,,NOTA,NOTA,3460,6,3466,1.6,248450
Gujarat,8,Tharad,4 Sartanbhai Vakhatabhai Hadiyal,MALE,50,SC,IND,Kettle,1878,0,1878,0.86,248450
Gujarat,8,Tharad,5 Hadiyal Maheshkumar Ranchhodbhai,MALE,31,SC,BSP,Elephant,717,3,720,0.33,248450
Gujarat,8,Tharad,6 Varan Manubhai Valabhai,MALE,29,SC,IND,Cup & saucer,476,0,476,0.22,248450
Gujarat,8,Tharad,7 Virchandbhai Chelabhai Chavda,MALE,30,GENERAL,AAAP,Broom,256,22,278,0.13,248450
Gujarat,8,Tharad,8 Bochiya Mohanbhai Ishvarbhai,MALE,35,SC,IND,Gas cylinder,211,0,211,0.1,248450
Gujarat,8,Tharad,9 Parmar Sedhabhai Vaghabhai,MALE,31,SC,IND,Auto- rickshaw,206,1,207,0.1,248450
Gujarat,8,Tharad,10 Brahmkshatriya Bhagavtiben Khetsinhbhai,FEMALE,70,GENERAL,IND,Pan,190,0,190,0.09,248450
Gujarat,8,Tharad,11 Thakor Laxmiben Shureshbhai,FEMALE,32,GENERAL,IND,Sewing machine,164,2,166,0.08,248450
Gujarat,8,Tharad,12 Prakashbhai Manjibhai Daraji,MALE,42,GENERAL,SVPP,Whistle,136,1,137,0.06,248450
Gujarat,8,Tharad,13 Kamleshbhai Kalubhai Desai,MALE,41,GENERAL,IND,Pot,91,0,91,0.04,248450
Gujarat,8,Tharad,14 Bharatkumar Khemabhai Charamta,MALE,39,GENERAL,PRJVJP,Bucket,74,0,74,0.03,248450
Gujarat,8,Tharad,15 Rameshji Vanaji Makvana,MALE,34,GENERAL,GAGUP,Ganna kisan,68,0,68,0.03,248450
TURN OUT,,,,,,TOTAL:,,,215746,1492,217238,87.44,
Gujarat,9,Dhanera,1 Mavjibhai Maganbhai Desai,MALE,50,GENERAL,IND,Pot,95600,453,96053,46.96,268872
Gujarat,9,Dhanera,2 Patel Bhagvanbhai Hajabhai,MALE,60,GENERAL,BJP,Lotus,59943,414,60357,29.51,268872
Gujarat,9,Dhanera,3 Patel Nathabhai Hegolabhai,MALE,76,GENERAL,INC,Hand,37922,338,38260,18.7,268872
Gujarat,9,Dhanera,4 Nota,,,,NOTA,NOTA,3809,2,3811,1.86,268872
Gujarat,9,Dhanera,5 Prakashbhai Revabhai Solanki,MALE,37,SC,BSP,Elephant,2137,17,2154,1.05,268872
Gujarat,9,Dhanera,6 Dineshbhai Pataji Chauhan,MALE,49,SC,IND,Glass tumbler,1395,0,1395,0.68,268872
Gujarat,9,Dhanera,7 Devda Sureshkumar Trikamaji,MALE,30,GENERAL,AAAP,Broom,1083,47,1130,0.55,268872
